;;;;;;;;;;;;;x
DIM_NET_dagbladzegel_desc;Some say the Dagbladzegel (the newspaper tax) has had its day, and voices are being raised to abolish it. The tax was originally introduced by emperor Napoleon, and has proven a useful tool to control public opinion. The steepness of the tax (up to half of the price of the newspaper) has made sure only the elites get to read the papers, and no new [radical] papers will founded. An excellent tool to control public opinion thus, but one which belongs in a museum say some.\n\nA bill has been brought to parliament to abolish the tax. What will the result of the vote be?;;;;;;;;;;;;;x
DIM_USA_friendship_incident_title;The Friendship Incident;;;;;;;;;;;;;x
DIM_USA_friendship_incident_desc;Building upon good relations with the Sultanate of Atjeh, and cutting out the expensive Dutch middleman, traders from Salem (MA) have become a world player on the pepper market. Unfortunately trading in the Indies is always a hazardous enterprise, as piracy is rife in the area. While previously the good trading relations deterred most piracy, in recent years competition and oversupply have caused price to drop and relations to become strained.\n\nWhile loading pepper on the west coast of Sumatra, the ship the Friendship of Salem was taken by pirates. The trader himself only barely managed to escape into the jungle, but his crew was not so lucky. Before the trader managed to return with reinforcements and retake his ship, 5 men lay death, 6 were injured and 3 suffered life long disabilities.\nOur national honour requires as response!;;;;;;;;;;;;x
DIM_NET_friendship_incident_desc;Like other places in the world lacking a strong central government, the waters around Atjeh are rife with pirates and brigands. However as the pepper from Atjeh is of particularly high quality, many traders are willing to run the risk of pirates.\n\nA Yankee trader, the Freedom of Salem, has gotten himself in a little bit of a whiff when his ship was attacked by local pirates while loading his cargo. The trader himself managed to escape and flee into the jungle, but all of his crew was so lucky though. Before the trader managed to return with reinforcements and retake his ship, 5 men lay death, 6 were injured and 3 suffered life long disabilities.\n The Americans have not taken kindly to this incident, and are preparing action. Our national honour requires us to respond as well!;;;;;;;;;;;;x
overland_route;The Overland Route;;;;;;;;;;;;;x
overland_route_desc;The communications with our colonies in Asia has to take the long way round the Cape. This has not always been the case. Before he Napoleonic Wars there existed an 'overland route' through Egypt: Ships would dock at Alexandria and then transfer passengers via the Nile to Cairo, from where they would take an coach to the Red Sea. Ottoman opposition and the war put an end to the route however. Reopening of the route proved difficult due to the coast of supplying coal to Egypt, until recently that is. A young entrepreneur has proven coal can be supplied at a fraction of the costs. This has led to the reopening of the overland route, cutting journey times from 90 days to 35.;;;;;;;;;;;;;x
counter;Counter;;;;;;;;;;;;;x
counter_desc;Don't mind me, I'm a technical requirement for spacing out decisions and events.;;;;;;;;;;;;;x
DIM_belgian_revolution;Belgian Revolution;;;;;;;;;;;;;x
DIM_belgian_revolution_counter;Belgian Revolution Intensity;;;;;;;;;;;;;x
belgian_nationalism;Belgian Nationalism;;;;;;;;;;;;;x
dutch_nationalism;Dutch Nationalism;;;;;;;;;;;;;x
NET_jacobs_university_app_con_title;Women attending universities?;;;;;;;;;;;;x
NET_jacobs_university_app_con_desc;While women are being education for some time now, the universities have always remained reserved for men. And with good reason. Women are undoubtedly not of the intellectual calibre to excel at the academic level. So what would they be doing at university? Distracting the male students, that's what! Better to teach them knitting. Who would marry a women who could not knit? No, women are better off not going to university.\nNow oddly enough, you received a letter from a young women, a certain miss Aletta Jacobs, who would like to challenge that assumption. She has already completed a lower education to apothecary, and has now expressed her desire to attend university and become a physician. A physician! The nerve! Well granting her permission would satisfy the more liberal elements in society, and when she fails, point proven!\nSo we'd better send a letter to her father informing him his daughter is to...;;;;;;;;;;;;x
NET_jacobs_university_app_lib_title;Women attending universities?;;;;;;;;;;;;x
NET_jacobs_university_app_lib_desc;While women are being education for some time now, the universities have always remained reserved for men. There is this odd presumption women lack the intellectual calibre to excel at the academic level, and would thus be nothing more than a disruptive influence on the male students. Furthermore it is thought it is better to educate women in more practical matters: makes it easier to find a man and take care of the children.\n\nNow as it happens, you recently received a letter from a young women, a certain miss Aletta Jacobs, asking permission to attend university and study to become a physician. She has already successfully completed an lower education as apothecary, and she shows potential. This might be the perfect opportunity to try and improve the prospects of women. \nWe'd better send a letter to her father informing him his daughter is to...;;;;;;;;;;;;x
NET_jacobs_university_gra_con_title;Aletta Jacobs graduates?!;;;;;;;;;;;;;x
NET_jacobs_university_gra_con_desc;A few years ago, a certain miss Aletta Jacobs started studying at university. The first women to do so. Not expecting her to actually succeed, we allowed it, as it would have silenced all those voices questioning God's plan for woman. Not only did she not fail, miss Jacobs went on to get her Doctorate at well. Today she presented her dissertation to the Queen. 'On the localisation of physiological and pathological phenomena in the cerebrum' it is called. She has expressed her wishes to open a women's clinic in Amsterdam, but has opted to move to London first to gain some working experience in a women's clinic there.;;;;;;;;;;;;;x
NET_jacobs_university_gra_lib_title;Aletta Jacobs graduates!;;;;;;;;;;;;;x
NET_jacobs_university_gra_lib_desc;A few years ago we granted permission to a certain miss Aletta Jacobs to start studying medicine on the university level. The first female student on any university in the country. Succeeding beyond our wildest expectations, today she presented her Doctorate dissertation to the Queen! 'On the localisation of physiological and pathological phenomena in the cerebrum' it is called. She has expressed her wishes to open a women's clinic in Amsterdam, but has opted to move to London first to gain some working experience in a women's clinic there.;;;;;;;;;;;;;x
NET_jacobs_voting_title;Aletta Jacobs demands voting rights!;;;;;;;;;;;;;x
NET_jacobs_voting_desc;As voting requires a certain tax rate to be paid, voting has always been a male privilege. There are no women who earn enough to qualify. That is, except for a certain miss Aletta Jacobs. After graduating from university, she opened her own women's clinic in Amsterdam. She now unequivocally satisfies the wealth criterion, and has asked the city of Amsterdam to add her name to the voting register. Which the city of Amsterdam naturally declined, the spirit of the law is clear: it was ever only intended to grant men the right to vote. Not satisfied Miss Jacobs has now taken the issue up to the highest court, arguing the letter of the law makes no distinction between men and women. As such she should be allowed to vote.\n\nThe High Court has reached its verdict. What does it decide?;;;;;;;;;;;;;x
NET_jacobs_voting2_title;Suffragettes Rally!;;;;;;;;;;;;;x
NET_jacobs_voting2_desc;With the recent granting of universal suffrage the fight for women suffrages has intensified. On a recent suffragette rally miss Aletta Jacobs has once again called for the right to vote. She is cited as saying: 'It is from the difference between men and women that we derive the primary and strongest argument for the opinion both should be involved in the discussion concerning the public good, on the treatment of societal questions, on the formulation of laws [...] for only then are we ensured questions of public good are not judged one-sidedly.';;;;;;;;;;;;;x
NET_vvkr_title;Vereeniging voor Vrouwenkiesrecht founded!;;;;;;;;;;;;;x
NET_vvkr_desc;The recent granting of universal suffrage has spurred on the creation of the Vereeniging voor Vrouwenkiesrecht ('Society for Woman-suffrage'). Founded by Aletta Jacobs and Wilhelmina Drucker, they are already taking to the street demonstrating their cause. The newspapers are calling it scandalous: 'For one to obtain the privilege of voting, one first has to respect the law!';;;;;;;;;;;;;x
NET_vrouwtentoon_title;National Women's Crafts Fair;;;;;;;;;;;;;x
NET_vrouwtentoon_con_desc;The preposterous proposition of women's rights has reached new heights. The various suffragette movements have decided to come together and organise a Woman's Crafts Fair! This exhibition will form a display of women's ideas, works and products, 'celebrating' their 'accomplishments' in the arts, literature, science and industry. The fair is intended to raise support for gender equality and inspire young women to take up the cause.\nCompletely run by women, how can it be anything but a complete failure?;;;;;;;;;;;;;x
NET_vrouwtentoon_lib_desc;The noble, yet slightly misguided, ideal of women's rights has reached a new level. The various suffragette movements have decided to come together and organise a Woman's World's Fair! This exhibition will form a display of women's ideas, works and products, celebrating their accomplishments in the arts, literature, science and industry. Completely run by women, the fair is intended to raise support for gender equality and inspire young women to take up the cause.;;;;;;;;;;;;;x
DIM_NET_uitbreiding_amsterdam_title;Expansion of Amsterdam;;;;;;;;;;;;;x
DIM_NET_uitbreiding_amsterdam_desc;The old city of Amsterdam has reached the limits of number of people it can house. The green courtyards behind the mansions and even the alleyways between them are filling up with slums. The squalor of these slums is so great that inhabitants really see the sun, or smell the fresh air. It is unsurprising that the city is prone to outbreaks of disease such as tuberculosis or cholera.\nDue to these circumstances, as well as the expected further growth of the city, a new plan has been presented for the expansion of the city. It promises large sweeping green-spaces, wide avenues and room for spacious mansions. It is hailed as a plan worthy for our capital. Unfortunately, it is also a very expensive plan. A more modest plan has also been presented. It still provides vastly superior housing compared to the slums, but sacrifices the large green spaces and avenues for more houses and cheaper execution. Which plan shall be implemented?;;;;;;;;;;;;;x
DIM_socialist_colonial_protest_title;Anti-Colonial Protest;;;;;;;;;;;;;x
DIM_socialist_colonial_protest_desc;Anti-Colonial sentiment is rising among the socialist sections of our populace. Strong opponents of our rule in the Ea, they feel our system amounts to little more than oppression of the natives: with virtually all production factors in the hands of either our citizens or the inlander Heads, it is in direct contrast to their ideal of social ownership. They are furthermore abhorred by our use of violence against the inlanders to maintain and extend our rule. The compare our colonial campaigns, the inlander struggles against them, to our own struggle against the Spanish, or to that of our brothers, the Boers, against the British.;;;;;;;;;;;;;x
DIM_socialist_end_war_title;End of the Atjeh War;;;;;;;;;;;;;x
DIM_socialist_end_war_desc;The socialists have long been opponents of our colonial rule in the East. Especially offensive to them are our colonial campaigns to extend our rule. They have compared the Atjehnese resistance to our own struggle against the Spanish, or the struggle of the Boers against the British. As such the socialists have taken it upon themselves to negotiate a peace with the Atjehnese.;;;;;;;;;;;;;x
DIM_NET_negenmannen_title;The Negenmannen;;;;;;;;;;;;;x
DIM_NET_negenmannen_desc;Disappointed by our lack of constitutional reform, a group of 9 prominent Liberals have come together to propose their own constitution. Led by renowned statesman Thorbecke, they propose, among other things, a directly elected House of Representatives, based on census suffrage, full ministerial responsibility, reform of the senate, and better protection for the freedom of religion.;;;;;;;;;;;;;x
DIM_NET_thorbecke_intro_title;Johan Rudolph Thorbecke;;;;;;;;;;;;;x
DIM_NET_thorbecke_intro_desc;With the newly published book 'Annotations to the Constitution' a young man by the name of Johan Rudolph Thorbecke has started making a name for himself in Liberal circles. The book, containing a detailed study of the nature and history of the constitution, has already sold over 1000 copies: an exceptionally large amount. It promises to be a standard work on the constitution for many years to come.;;;;;;;;;;;;;x
DIM_NET_liberal_blackmail_title;Royal Blackmail;;;;;;;;;;;;;x
DIM_NET_liberal_blackmail_desc;For years now, 'a special kind of friend' of the king has been sending out letters to the elites pertaining to the kings' 'private experiments.' So far, we've managed to contain protect the privacy of the king and contain the damage. Generous bribes and occasional threats go a long way in this regard. Unfortunately the information has now found its way into the hands radical liberals. While they themselves are not particularly interested or disturbed by the kings aristocratic vices, they apparently see it as leverage to effect political change. Unless we agree to institute a liberal constitution, they have warned the papers will quickly fill up with intimate stories of our king.;;;;;;;;;;;;;x
DIM_NET_willem_ii_outed_title;A Blemish on the Throne;;;;;;;;;;;;;x
DIM_NET_willem_ii_outed_desc;The outrages adventures of the king have outed, and as to be expected, the people are not yet ready to accept such behaviour. They are demanding for abdication of the king. He might claim to profess the woman love as well, but the royal line has become suspect. It is unlikely people will accept one of the royal princes, as they may very well be a bastard.;;;;;;;;;;;;;x
DIM_PAP_herstel_bisschoppen_title;Restore the Ecclesiastical Hierarchy to the Netherlands;;;;;;;;;;;;;x
DIM_PAP_herstel_bisschoppen_desc;Calvinism is the dominant faith in the Netherlands, and while perhaps Catholics have not faced the same level of prosecution as seen elsewhere (or indeed, Protestants have faced from Catholics elsewhere), they are discriminated against. The new Dutch constitution, however, attempts to right this wrong, and protects all religions, Catholics included, from discrimination. Under the constitution we can restore our bishops to the country, and restore the Catholic faith to its rightful place!\n[Controlling Rome, either directly or indirectly, gives you access to this decision.];;;;;;;;;;;;;x
DIM_NET_herstel_bisschoppen_title;Ex Qua Die Arcano;;;;;;;;;;;;;x
DIM_NET_herstel_bisschoppen_desc;The constitution of 1815 provided, in theory, for freedom of religion, but in practice Calvinism maintained the dominant faith. To keep Catholics subdued and away from power, barriers remained in place right up until our new constitution with its famous anti-discrimination clause.\nTaking advantage of the new constitution, the Pope has issued a Papal Bull, the 'Ex Qua Die Arcano,' to right the 'great injustices and evils' Catholics had suffered under the 'frenzy of the Calvinstic heresy' in our country. With this Bull the Pope ends the status of our country as target for missionaries, and restores the Ecclesiastical Hierarchy in our country. Five new Bishoprics have been created: Utrecht, Haarlem, 's Hertogenbosch, Breda and Roermond. In honour of saint Willibrord, apostle of the Low Countries, the Pope has selected Utrecht as the site of the archbishopric of the Netherlands.;;;;;;;;;;;;;x
DIM_NET_aprilbeweging_title;The April Movement;;;;;;;;;;;;;x
DIM_NET_aprilbeweging_desc;A public storm of protest has gripped our country after the Pope restored the bishops here. In his Bull, the pope had made many tactless moves, such as claim to protect the Catholics from 'the frenzy of the Calvinistic heresy,' or naming Utrecht, bastion of the Reformation, the archbishopric. Protestants have not taken kindly to this, some even claiming the bull makes the 'king a slave of the Pope, even more than king Philip of Spain, murderer of William the Silent, would have wanted to be.'\n\nA motion sponsored by the conservatives (and supported by over 200.000 signatures from the public) has now passed parliament asking the king to condemn this act of the Pope.;;;;;;;;;;;;;x
DIM_NET_a_visit_to_Utrecht_title;A Visit to Utrecht;;;;;;;;;;;;;x
DIM_NET_a_visit_to_Utrecht_desc;The king's recent visit to Utrecht has been quite a sight! The local newspapers had called upon the populace to reject the liberal constitution and come out to hail the king. Fireworks was sent up into the sky, the streets were decorated triumphal arches, the Prinsenvlag (orange-white-blue, for one nation under God and the King) flying from the homes, while children sang praise to the king. The whole city turned out to great the king. All except the Catholics, they wisely choose to remain at home. Rumours about in the city and country about a possible coup d'etat, and the king's entry into the city as a triumphant general certainly did not quell these.\n\nThe choice of Utrecht as archbishopric is particularly painful for the Protestants: it is where the Union of Utrecht was signed in 1579, liberating the country from the Catholic domination of the Spanish.;;;;;;;;;;;;;x
DIM_NET_the_end_of_thorbecke_title;An Indiscreet King;;;;;;;;;;;;;x
DIM_NET_the_end_of_thorbecke_desc;According to journalists, the king has made some 'undiplomatic' statements in relation to the anti-Catholic sentiment sweeping the nation. He is reported to be of the opinion that this sentiment has caused: 'the bond between the House of Orange and the Fatherland to be closer and dearer to his heart.' He is also reported to have said that there have been 'many tense moments' between himself and the government.\n\n This is a clear violation of the trust between king and government. To preserve the illusion of concord between king and government (and thus make government possible), this can only end in one of two ways: the king retracts, or the government falls.;;;;;;;;;;;;;x
women_higher_education;Women Attending Universities;;;;;;;;;;;;;x
women_higher_education_desc;Following the academic success of Aletta Jacobs, there is nothing standing in the way of women studying at the universities.;;;;;;;;;;;;;x
volhardingspolitiek;Volhardingspolitiek;;;;;;;;;;;;;x
volhardingspolitiek_desc;While Belgium may now be fully independent, as long as we do not accept the independence of Belgium, a de jure state of war exists necessitating the mobilisation of the army.;;;;;;;;;;;;;x
cultuurstelsel;Cultuurstelsel;;;;;;;;;;;;;x
cultuurstelsel_reformed;Reformed Cultuurstelsel;;;;;;;;;;;;;x
verplichte_levering;Verplichte Levering;;;;;;;;;;;;;x
private_plantation;Private Plantations;;;;;;;;;;;;;x
koelie_contracten;Koelie Contracten;;;;;;;;;;;;;x
koelie_contracten_desc;This province profits from contract labour.;;;;;;;;;;;;;x
poenale_sanctie;Poenale Sanctie;;;;;;;;;;;;;x
poenale_sanctie_desc;Planters in this province have been granted extensive judicial rights to discipline their works;;;;;;;;;;;;;x
DIM_flooding;Flooded;;;;;;;;;;;;;x
DIM_army_disintegrated;Army Disintegrated;;;;;;;;;;;;;x
DIM_army_disintegrated_desc;Our army consists for a large part of Belgian recruits. With the revolution in progress, these recruits are deserting, disobedient or outright mutinying.;;;;;;;;;;;;;x
DIM_aprilbeweging;The April Movement;;;;;;;;;;;;;x
DIM_aprilbeweging_desc;Protestations against the recent Papal actions have become commonplace throughout the country.;;;;;;;;;;;;;x
bungaij_treaty;The Bongaisch Tractaat;;;;;;;;;;;;;x
bungaij_treaty_desc;We are subject to the Bungaij Treaty signed with the Dutch;;;;;;;;;;;;;x
economically_depressed;Economically depressed region;;;;;;;;;;;;;x
DIM_malaria;Malaria Epidemic;;;;;;;;;;;;;x
improved_infrastructure;Improved Infrastructure ;;;;;;;;;;;;;x
deli_maatschappij;Deli Maatschappij;;;;;;;;;;;;;x
cultuurstelsel_abandoned;Abandoned the Cultuurstelsel;;;;;;;;;;;;;x
landverhuurstelsel;Landverhuurstelsel;;;;;;;;;;;;;x
fleeing_cultuurstelsel;Escaping the Cultuurstelsel;;;;;;;;;;;;;x
balinese_nationalism;Balinese Nationalism;;;;;;;;;;;;;x
balinese_nationalism_desc;The struggle for the control of Bali is now truely on.;;;;;;;;;;;;;x
DIM_hidayatullah;Prince Hidayatullah;;;;;;;;;;;;;x
DIM_hidayatullah_desc;Prince Hidayatullah is the successor to sultan Adam.;;;;;;;;;;;;;x
DIM_tamjidillah;Prince Tamjidillah;;;;;;;;;;;;;x
DIM_tamjidillah_desc;Prince Tamjidillah is successor to sultan Adam.;;;;;;;;;;;;;x
DIM_prabu_anom;Prince Prabu Anom;;;;;;;;;;;;;x
DIM_prabu_anom_desc;Prince Prabu Anom is successor to the sultan Adam.;;;;;;;;;;;;;x
DIM_anglo_dutch_treaty_1824_title;First Sumatra Treaty;;;;;;;;;;;;;x
DIM_anglo_dutch_treaty_1824_desc;The First Sumatra treaty has divided the Malayan Archipelago into spheres of influence between the British and us. The treaty specifies all lands north of the strait of Singapore belong to the British sphere of influence, and all lands belong to the south of the strait of Singapore, with the exception of Atjeh, belongs to our sphere of influence. However, both countries retain extensive trading rights in the archipelago.;;;;;;;;;;;;;x
DIM_cultuurstelsel_title;The Cultuurstelsel;;;;;;;;;;;;;x
DIM_cultuurstelsel_desc;The wars with Belgium, on Java and on Sumatra have drained the treasury, and we are quickly heading toward financial ruin. To stave off financial disaster, we should try to increase the revenue from our colonies in the East. A new system called the Cultuurstelsel has been proposed, which will require farmers to grow cash crops for export.;;;;;;;;;;;;;x
DIM_agrarische_wet_title;The Agrarische Wet;;;;;;;;;;;;;x
DIM_agrarische_wet_desc;While vital for the financial well-being of our nation, the Cultuurstelsel has its opponents. Especially in liberal circles there is a lot of criticism of the system. They view the Cultuurstelsel as an inefficient and inflexible economic system, unable to respond adequately to changing circumstance. In their view the East Indies would benefit from opening up to private capital. The treatment of the Inlanders is also a point of contention. They hold the Cultuurstelsel as deeply immoral, as it denies the local education, Christianity and the blessings of progress. The Agrarische Wet seeks to abolish the Cultuurstelsel and its governmental plantations, and open the East Indies up to private investment. Ownership of the land is returned to the Inlanders and western individuals can lease lands from them or the government.;;;;;;;;;;;;;x
DIM_ethische_politiek;The Ethische Politiek;;;;;;;;;;;;;x
DIM_ethische_politiek_title;Institute the Ethische Politiek;;;;;;;;;;;;;x
DIM_ethische_politiek_desc;The Indies have always been a profit centre to our nation. While great wealth has flowed to our great nation, the poor inlanders have seen little benefit from our rule. In fact, they have suffered dearly from abuse and exploitation under our rule. Some would say we have incurred a debt of honour towards the inlanders. They are proposing we follow a more Ethical Policy towards the inlanders. We would take ethical responsibility towards our inlander populace, and extend all benefits from being part of our great nation towards them.;;;;;;;;;;;;;x
DIM_cultuurstelsel_event_title;The Cultuurstelsel;;;;;;;;;;;;;x
DIM_cultuurstelsel_event_desc;Replacing the old Landrente-tax, which required farmers to pay 2/5th of their harvest as tax, the Cultuurstelsel requires farmers to use 1/5th of their land to grow cash crops, mainly coffee, tea, sugar and indigo. Farmers who cannot grow these crops on their land are required to provide the Herendienst: 60 days of free labour per year to work on government plantations. Should the value of crops exceed the previously paid Landrente, the farmer is compensated accordingly by the Plantloon. To reduce the financial burden on the colonial administration, a system of local middleman, mainly Chinese, has been set up to handle the system. Furthermore, to tie local Heads to our administration, they are awarded a certain percentage of the crops called the Cultuurprocenten. To stimulate production, the Cultuurprocenten goes up the more is produce.;;;;;;;;;;;;;x
DIM_suikerwet_title;The Suikerwet;;;;;;;;;;;;;x
DIM_suikerwet_desc;The Agrarische Wet has been the first step in abolishing the cultuurstelsel. However due its economic importance, the sugar industry had been exempted from the Agrarische Wet. This never set well with the liberal elements of society, and they have always pushed to end the governmental monopoly on sugar. A bill has now been brought to a vote in parliament to this effect.\nUnder the Suikerwet the government relinquishes its monopoly on sugar, and opens the sugar market to private capital, provided the sugar is refined in Dutch refineries.;;;;;;;;;;;;;x
DIM_koffiewet_title;The Koffiewet;;;;;;;;;;;;;x
DIM_koffiewet_desc;While in the days of the VOC spices such nutmeg and cloves might have been the economic motor of the Indies, since the late 18th century coffee has been the cork keeping our economy afloat. Therefore, when the Agrarische Wet was passed, the coffee cultures were specifically exempted. This never set right with the liberals and other proponents of a liberal economy. A bill has now been brought to a vote in parliament to finally bring an end to Cultuurstelsel, and the governmental monopoly on the coffee.;;;;;;;;;;;;;x
DIM_java_run_colony_title;Java, or How to Manage a Colony;;;;;;;;;;;;;x
DIM_java_run_colony_desc;Long has our colony on Java been the envy of the world. The vast wealth provided by the Cultuurstelsel has propelled our nation forwards, and this has not gone unnoticed abroad. In a recently published book, called 'Java, or How to Manage a Colony,' the aptly named Englishman James Money described our colonial administration of Java, the Cultuurstelsel in particular, as the example of how a colony should be run. He writes that a similar system would solve many of the problems facing British India today.;;;;;;;;;;;;;x
DIM_javanese_famine_title;The Great Javanese Famine;;;;;;;;;;;;;x
DIM_javanese_famine_desc;While famines are not unusual in that part of the world, the severity of the famine on Java has started to be noticed. Question have been raised whether or not perhaps the Cultuurstelsel lies at the heart of the problem. Investigation has revealed multiple issues at play which may have contributed to the famine: While the official instruction is that leeway has to be given for the production of food, this is frequently ignored. Enticed by the Cultuurprocenten, their share of the proceeds, local administrators and Heads push farmers to work the plantations instead of their rice paddies. Farmers are often required to use their most productive lands to grow cash crops, and lastly, it would that in some instances farmers are even forced to set aside more than the 1/5th of their land required under the Cultuurstelsel to cash crops. This combined with natural forces have likely conspired to cause the current famine.;;;;;;;;;;;;;x
DIM_cultuurstelsel_extended_title;The Cultuurstelsel on Sumatra;;;;;;;;;;;;;x
DIM_cultuurstelsel_extended_desc;As the Cultuurstelsel is a very resource intensive method of running our colony, expanding it beyond our core territories on Java and Madura has not been proven feasible. However the Outer Islands, especially Sumatra, do seem to have the potential for the plantation system of the Cultuurstelsel. Expending there is certainly an option, if you are willing to bear the costs.;;;;;;;;;;;;;x
DIM_cultuurstelsel_abuse_title;Herendienst in $PROVINCENAME$;;;;;;;;;;;;;x
DIM_cultuurstelsel_abuse_desc;Under the cultuurstelsel, farmers who cannot grow cash crops are required to provide 60 days of free labour to the colonial government. Originally intended to provide labour to government plantations, the system is now widely used for other purposes. As it happens the region around $PROVINCENAME$ has been suffering from a lack of investment, leaving the roads dilapidated, hampering local trade. Furthermore, the fortress at $PROVINCENAME$ has not seen any major work done in years. Lastly the local regent has complained his residence is no longer representative of a man of his position. We could divert the labours away from the plantations to remedy one of these issues.;;;;;;;;;;;;;x
DIM_cultuurstelsel_famine_title;Famine in $PROVINCENAME$;;;;;;;;;;;;;x
DIM_cultuurstelsel_famine_desc;'To those who blame the Cultuurstelsel for the famine in $PROVINCENAME$ we say: When Jacob sent his sons to Egypt to buy grain, it was due to famine. And yet history does not record the existence of a Cultuurstelsel in Israel. When the prophet Nathan threatened David with the disaster, he threatened him with famine, yet we do not read that the prophet threatened to inflict the Cultuurstelsel on David's kingdom. Europe too was ravished by famine before the potato, and British India still is. The famine striking the Indies cannot be blamed on the Cultuurstelsel, which if applied wisely, spreads prosperity, not famine. We must blame the famine in $PROVINCENAME$ on local misrule. On local Heads who extract to much tax, and do not pay the dessa occupants their due Plantloon.';;;;;;;;;;;;;x
DIM_cultuurstelsel_escape_title;People moving out of $PROVINCENAME$;;;;;;;;;;;;;x
DIM_cultuurstelsel_escape_desc;One of the strengths of the Cultuurstelsel is its ability to be adapted to the local polity. By including the Heads in the system, by offering the Cultuurprocenten, their interests align with ours. Their influence and coordinating abilities are thus fully employed to make the Cultuurstelsel a success. This also means the system can, in broad lines, be applied to any region, with the local Heads adapting it to their specific circumstance. Some local variation in the system thus exists. The Cultuurstelsel in  $PROVINCENAME$ is a particular efficient variety. However the local populace disagrees, and has started leaving $PROVINCENAME$ looking for a more liberal implementation.;;;;;;;;;;;;;x
DIM_cultuurstelsel_multatuli1_title;Overzealous Colonial Officer;;;;;;;;;;;;;x
DIM_cultuurstelsel_multatuli1_desc;One of our lower colonial officers, an assistant-resident in western Java, has taken a very zealous approach to his job. Disturbed by the abuses of the Cultuurstelsel and Herendienst he found in his regency, he accused the local Head of severe abuse of power and bondage of his subjects. While of course his position requires him to reign in local excesses and protect the populace, his primary concern should be the protection of our interests! Currently, the authority of the Head is sacred and unquestionable to the populace. Bringing him to court might cause severe social upheaval. As such, the Resident has called the Assistent-Resident to order and stopped the prosecution of the Head. This did not deter the Assistent-Resident. The case has now reached the Governor-General who has to decided to continue the prosecution, and risk rebellion, or put a stop to it.;;;;;;;;;;;;;x
DIM_cultuurstelsel_multatuli2_title;Disgruntled Colonial Officer;;;;;;;;;;;;;x
