;;;;;;;;;;;;;x
EVTNAME301001;$FROMCOUNTRY_ADJ$ Asserts Dominance over Lengeh;;;;;;;;;;;;x
EVTDESC301001;The $FROMCOUNTRY_ADJ$s have reasserted their authority over the ports around Lengeh on the northern shore of the Persian Gulf. The ports de jure belonged to $FROMCOUNTRY$, but due to internal and external pressure $FROMCOUNTRY$ had been unable to assert their authority. With the changing internal and external political situation, the $FROMCOUNTRY_ADJ$s felt comfortable enough to expel all foreign influence from the ports.;;;;;;;;;;;;x
EVTNAME301002;$FROMCOUNTRY_ADJ$ Asserts Dominance over Bushire;;;;;;;;;;;;x
EVTDESC301002;Bushire, the prime port and commercial city of $FROMCOUNTRY$. Home to our Consulate General for the Gulf and centre of $COUNTRY_ADJ$ economic interest in the region. While the city was not official $COUNTRY_ADJ$, in light of our economic and diplomatic presence in the city and lack of $FROMCOUNTRY_ADJ$ authority, the general held opinion was that it might as well have been. Recent changes in the $FROMCOUNTRY_ADJ$ administration, however, has given them sufficient influence in the region to reassert their authority over the city.;;;;;;;;;;;;x
EVTNAME301003;The Bandar Abbas Lease;;;;;;;;;;;;x
EVTDESC301003;We've been approached by a $FROMCOUNTRY_ADJ$ embassy seeking to renegotiate our lease on the port of Bandar Abbas. It would seem that our recent troubles have emboldened the $FROMCOUNTRY_ADJ$s in their stance towards us. The renewed lease they are proposing would see more stringent conditions, a higher fee, the formal recognition of Persian sovereignty over the region[*] and a number cancellation clauses[**]\n\n[*]The recognition is only formal, you will not actually secede Bandar Abbas to $FROMCOUNTRY$\n[**]i.e. bankruptcy, rebellion, revolution and $FROMCOUNTRY$ reaching secondary power and Oman not.;;;;;;;;;;;;x
EVTDESC301004;The Omanis have accepted the new Bandar Abbas lease treaty.;;;;;;;;;;;;x
EVTDESC301005;The Omanis have rejected the new Bandar Abbas lease treaty.\n[You gained a core on Bandar Abbas.];;;;;;;;;;;;x
EVTDESC301006;The $FROMCOUNTRY_ADJ$s have taken possession of Bandar Abbas in accordance with the cancellation clauses of Bandar Abbas lease treaty. As it accordance with the treaty, there is very little we can do about it.;;;;;;;;;;;;x
EVTNAME301007;The Treaty of Akhal;;;;;;;;;;;;x
EVTDESC301007;The $FROMCOUNTRY_ADJ$ Grand Designs for Central Asia are starting to interfere with our just claims to the regions. Already the great Khanate of Khiva has been subdued, while it seems only a matter of time untill the other Khanates follow suit. All the while it seems exceedingly unlikely we will be able to turn this trend.\n\nA Russian diplomatic mission has arrived in $CAPITAL$ to discuss just this issue. They propose that, in the interest of avoiding unnecessary conflict, a clear border is defined. The border they are insisting on however would see us loose all our claims and territories in Turkestan. Accepting this proposal would go a long way to stabilise our relations and prevent future conflict. Relinquishing our ancient claims would however also be greatly humiliating and very unpopular at home.;;;;;;;;;;;;x
EVTDESC301008;In their infinite wisdom, the $FROMCOUNTRY_ADJ$s have agreed to our proposal and will evacuate all territories in Turkestan!;;;;;;;;;;;;x
EVTDESC301009;The $FROMCOUNTRY_ADJ$s seem to understand that resisting our Designs for Central Asia is pointless, and have agreed to withdraw to south of the Atreck River. However, the negotiations did not go smoothly. We may have forced them to withdraw, but some issues have not been resolved which may lead to future conflict.;;;;;;;;;;;;x
EVTDESC301010;The $FROMCOUNTRY_ADJ$s seem to have lost their minds! They have blown up the completely fair and equitable negotiations over ceding Turkestan to us! Such defiance... The British must have been behind this!;;;;;;;;;;;;x
EVTNAME301011;Dost Mohammad Khan;;;;;;;;;;;;x
EVTDESC301011;It is the tribal nature of the Afghan people and land to be independent and resist outside domination. The formation of an Afghan Empire thus greatly relied on balancing tribal alliances and hostilities, and in directing tribal energies away from rebellion. Lacking the gift for diplomacy, the recent Durrani Shahs have allowed tribal rivalries to resurface and slowly the empire has been disintegrating. Today a new Emir has taken control of Kabul. Whether he'll succeed in reuniting the tribes is yet to be seen.;;;;;;;;;;;;x
EVTNAME301012;The End of the Durrani Empire;;;;;;;;;;;;x
EVTDESC301012;It is the tribal nature of the Afghan people and to be independent and resist outside domination. The formation of an Afghan Empire thus greatly relied on balancing tribal alliances and hostilities, and in directing tribal energies away from rebellion. Lacking the gift for diplomacy, the recent Durrani Shahs have allowed tribal rivalries to resurface and slowly the empire has been disintegrating. Today a new Emir has taken control of Kabul. Will we follow him?;;;;;;;;;;;;x
EVTNAME301013;The Turkmen of Merv;;;;;;;;;;;;x
EVTDESC301013;The peoples of Central Asia have a long history of nomadism and rarely settle anywhere for a long period, especially if local circumstance changes for the worse. The Turkmen peoples of the Kopet Dag are no different. Ever since we reestablished control over the mountains there has been a slow, but steady, migration of Turkmens to greener pastures, mostly the oasis of Merv.;;;;;;;;;;;;x
EVTDESC301014;The Persian attempts to re-establish control over the Kopet Dag mountains have caused a substantial number of Turkmen tribesmen to move north, many of whom have decided to settle in the Merv oasis. This inflow of Turkmens is threatening order, and our control over the oasis!;;;;;;;;;;;;x
EVTNAME301015;The Treaty of Shiraz;;;;;;;;;;;;x
EVTDESC301015;Without our knowledge or approval the governor of Shiraz has entered into a treaty with the British Resident at Bushire concerning the future of Bahrain. The governor managed to convince the Resident to support our title to the island, and even to offer ships to establish our authority. However word has now reached us from Bombay that the British are refusing to fulfil the terms of the agreement, claiming that, as both the resident of Bushire and the governor of Shiraz exceeded their authority, the treaty of null and void. Without British approval or support, taking Bahrain might prove costly. However, this treaty might prove useful in the future to support our claim to Bahrain.\nHow shall we proceed?;;;;;;;;;;;;x
EVTDESC301016;A clandestine treaty was signed recently between the British resident in Bushere and the Persian governor of Shiraz which obligated the British to help the Persians conquer us! Luckily the British backtracked on the agreement, claiming the the resident exceeded his authority, but it is clear that our position is not safe! How shall we proceed to secure our position?;;;;;;;;;;;;x
EVTDESC301017;As word leaked of a treaty signed between the Persians and the British which would put Bahrain under the suzerainty of the Shah, the Sheik of Bahrain started looking abroad for support. Even though the British have backtracked on the agreement, the Sheik isn't completely secure in his position. He has approached us with a treaty of friendship in the hopes that we'll be able to provide some much needed security.;;;;;;;;;;;;x 
EVTNAME301020;Incident at the Russian Legation;;;;;;;;;;;;x
EVTDESC301020;Outrage has erupted over actions of the Russian Envoy in Tehran. Under the terms of the Treaty of Turkmenchay he has granted asylum to an Armenian court eunuch and his extended family. Anti-Russian sentiment which had long been simmering following the recent Russian actions in the Caucasus, have now come to full eruption. An angry mob has gathered at the Russian Legation demanding the return of the eunuch.\n\nEncouraged by opportunistic mullahs, the calls for the return of the Eunuch are growing ever more radical, and the situation is quickly spiralling out of control... Forcing the Envoy to hand over the eunuch would satisfy the crowd, but also anger the Russians. Dispersing the crowd on the other hand would mean accepting this affront to our honour...;;;;;;;;;;;;x
EVTNAME301021;Incident at the Tehran Legation;;;;;;;;;;;;x
EVTDESC301021;One hour, that is how long they lasted. Alexander Griboyedov and his brave Cossack guards. One hour, in full uniform, before the mob broke through the ceiling and slaughtered all of them. Fighting with pistol, sword, broomstick, anything, they held bravely. All the while the Persian authorities watched. Thrown from the window, decapitated, dragged through the streets and bazaars... Griboyedov's head put on display at a local kebab place, his body identifiable only through a small duelling injury to his finger... And what did Alexander Griboyedov do to deserve this? He rightfully protected an Armenian eunuch and two Georgian girls who wished to escape the imperial harem and move to freedom in Armenia.;;;;;;;;;;;;x
EVTNAME301022;The Death of Alexander Griboyedov;;;;;;;;;;;;x
EVTDESC301022;Yes, the storming of the Russian legation and decapitation of the Russian envoy was an unfortunate incident, but not unjustified. When Alexander Griboyedov refused to hand over the eunuch and the girls, it was quite clear something was up. Fearing for the honour of the women, the mob stormed the embassy to free and protect them. And loo and behold, they found them, raped by Griboyedov. What was the crowd to do but execute Griboyedov publicly? Yet the Russians are screaming murder, and are demanding retribution for his death!;;;;;;;;;;;;x
EVTNAME301023; ;;;;;;;;;;;;x
EVTDESC301023;Yes, storming of the Russian legation and the decapitation of the Russian envoy was an unfortunate incident, but not unjustified. When Alexander Griboyedov refused to hand over the eunuch and the girls, it was quite clear something was up. Fearing for the honour of the women, the mob stormed the embassy to free and protect them. And loo and behold, they found them, raped by Griboyedov. What was the crowd to do but execute Griboyedov publicly? Yet the Russians are screaming murder and are preparing their soldiers on our border...;;;;;;;;;;;;x
EVTNAME301024;A Cleaning in Tehran;;;;;;;;;;;;x
EVTDESC301024;Fearful of what we might do to in retribution for the murder of Alexander Griboyedov, the Shah has unleashed his wrath on those responsible for his murder. The ordinary citizenry, the mullahs, even his own advisers, none were safe. This has done much to wipe out the anti-Russian establishment, yet without this power base, it also left the Shah vulnerable. Surely his weakend position has created an opportunity to strengthen our influence in at his court?;;;;;;;;;;;;x
EVTNAME301025;The Shah Diamond;;;;;;;;;;;;x
EVTDESC301025;An unexpected guest arrived at court today: the grandson of the Shah himself! And he comes baring gifts. 88.7 carats worth of gifts: the Shah Diamond. Taken as a war trophy by the Persians almost 100 years ago, it is one of the most treasured heirlooms of the Persian court. And today it is offered as a sincere apology for the events surrounding the Tehran legation, should we choose to forget that unfortunate incident.;;;;;;;;;;;;x
EVTNAME301026;A Defiant Persia;;;;;;;;;;;;x
EVTDESC301026;The Persians have defiantly rejected every approach and offer we tried to make to settle the issues surrounding the death of Alexander Griboyedov.;;;;;;;;;;;;x
EVTNAME301027;A Russian Advisor;;;;;;;;;;;;x
EVTDESC301027;The Russians have expressed their approval of our swift action in bringing the perpetrators of the murder of Alexander Griboyedov to justice and cleaning out the anti-Russian sentiment oh so prevalent in Tehran recently. Even going as far as graciously offering material and technical assistance to strengthen our administration, should we so desire.;;;;;;;;;;;;x
EVTNAME301028;The End to the Legation Crisis;;;;;;;;;;;;x
EVTDESC301028;The Russians have accepted our efforts to right the wrongs of Alexander Griboyedov's death.;;;;;;;;;;;;x
EVTNAME301029;The Persian Mission;;;;;;;;;;;;x
EVTDESC301029;The Persians have agreed to our proposal to sent Russian advisers.;;;;;;;;;;;;x
EVTNAME301030;A Concession?;;;;;;;;;;;;x
EVTDESC301030;Our response to the vicious murder of Alexander Griboyedov has rattled the Shah. Fearful of what we might do, he has offered us sweeping economic influence in Azerbaijan, if we are willing to come to terms with the death of Griboyedov and forget about all about this nasty event...;;;;;;;;;;;;x
EVTNAME301031; ;;;;;;;;;;;;x
EVTDESC301031;The incident at the Russian Legation had quickly spiralled out of control when the mob stormed the building and found that the envoy, Alexander Griboyedov, had raped the women who had sought refuge at the Legation. The crowd, enraged by what they found, quickly took Griboyedov outside and publicly executed him. An unfortunate, but not unjustified, act. The Russians might, however, have viewed this attack on their legal representative differently, perhaps even angrily. For weeks we have waited on a Russian response, yet none has come. Not even a rider with an official message.\nPerhaps the Russians aren't as fearsome as we thought?;;;;;;;;;;;;x
EVTNAME301032;A Persian Adventure;;;;;;;;;;;;x
EVTDESC301032;The Shah of Persia has found himself in somewhat of a pickle after a rousey rabble stormed the Russian Legation in Tehran and killed the envoy Alexander Griboyedov. Apparently Griboyedov stuck his head in some nasty business involving a eunuch and two former harem girls, and the Persians did not take kindly to this. Decapitated, body mutilated, head found on display at a local kebab place, just terrible. The Russians are, understandably, somewhat upset about this, and are threatening war to avenge Griboyedov. The Shah, not one to risk losing another war to Russia, has appealed to us for protection.;;;;;;;;;;;;x
EVTNAME301034;British Support;;;;;;;;;;;;x
EVTDESC301034;The British seem very inclined to support us in our confrontation with the Russians.;;;;;;;;;;;;x
EVTNAME301035;British Rejection;;;;;;;;;;;;x
EVTDESC301035;The British do not seem to be inclined to help us against should the Russians decided to avenge Griboyedov.;;;;;;;;;;;;x
EVTNAME301036;The Russian Hunger;;;;;;;;;;;;x
EVTDESC301036;Despite our most best efforts, the Russians have rejected all our approaches peacefully settle the issues surrounding the storming of the Legation and the unfortunate death of Alexander Griboyedov. It seems nothing will stop the insatiable Russian hunger except land...;;;;;;;;;;;;x
EVTNAME301037;A Land Deal?;;;;;;;;;;;;x
EVTDESC301037;Our response to the vicious murder of Alexander Griboyedov has rattled the Shah. If we are willing to forget this whole situation, he is willing to come to terms with a modest loss of land...;;;;;;;;;;;;x
EVTNAME301040;A Turkish Adventure;;;;;;;;;;;;x
EVTDESC301040;The nature of the Ottoman border has always led it to be a source of friction between our empires. While officially the border was demarked by the Treat of Zuhab, the tribes on both sides of the border have little regard for this official border. They regularly migrate across the border, and are thus hard to control. At the same time, they play governors on both sides of the border off against eachother to assert their independence.\nTensions have now reached a boiling point. A high ranking Turkish officer from Baghdad, who had sought refugee at our court, was, together with some of our officers, kidnapped and beheaded by the Ottomans. While at the same time the governor of Van has been instigating rebellion among the Azeri tribes along the border. Lastly, we should not forget that the Wahabis have been raiding our Shi'a Persian on pilgrimage to Mecca and Karbala, something the Ottomans are not combating. Sometimes engaging in it themselves.\nShould we decided to press the issue, the Russian Tsar has promised his support.;;;;;;;;;;;;x
EVTNAME301041;The Persian War;;;;;;;;;;;;x
EVTDESC301041;The nature of the Persian border has always led it to be a source of friction between our empires. While officially the border was demarked by the Treat of Zuhab, the tribes on both sides of the border have little regard for this official border. They regularly migrate across the border, and are thus hard to control. At the same time, they play governors on both sides of the border off against eachother to assert their independence.\n\nTensions had been running high for some time now. The Persians have openly been supporting Kurdish tribes raiding our provinces, allowing them to cross into Persia for safety. At the same time the provided refugee to a prominent Baghdadi opponent of our government there.\nCiting our retrieval of this officer, as well as mistreatment of Shi'a pilgrims to Karbala and Mecca, the Persians have declared war on us!;;;;;;;;;;;;x
EVTNAME301042;The Treaty of Erzerum;;;;;;;;;;;;x
EVTDESC301042;The war with the Ottomans has been ongoing for some time now with no end in sight. A treaty to end the war has been drawn up. To prevent future conflict the terms of the treaty include no territorial changes. The movement of tribes along the border is to be regulated and, pledging non-interference in one another's internal affairs, neither side will grant political asylum to their opponents respective dissidents.;;;;;;;;;;;;x
EVTDESC301043;The war with the Persians has been ongoing for some time now with no end in sight. A treaty to end the war has been drawn up. To prevent future conflict the terms of the treaty include no territorial changes. The movement of tribes along the border is to be regulated and, pledging non-interference in one another's internal affairs, neither side will grant political asylum to their opponents respective dissidents.;;;;;;;;;;;;x
EVTDESC301044;The Ottomans have accepted the terms of the Treaty of Erzerum.;;;;;;;;;;;;x
EVTDESC301045;The Ottomans have repudiated the terms of the Treaty of Erzerum.;;;;;;;;;;;;x
EVTNAME301090;Bread Riots in $PROVINCENAME$;;;;;;;;;;;;x
EVTDESC301090;Riots over the price of bread have erupted in $PROVINCENAME$! The poor harvest combined with speculation has caused the price of bread to sky rocket, leaving the poor unable to buy their bread!\n\nSecuring the bread supply has always proven to be difficult, even in years of good harvest. The poor communication and transportation links between the various regions means that even where there is a surplus, it cannot be used to alleviate shortages elsewhere. The centralised granary system was set up to provide a stable and ample grain supply across the country, but government inefficiency and corruption has left it impotent.;;;;;;;;;;;;x
EVTNAME301100;A Jewess I was born,\na Jewess I wish to die;;;;;;;;;;;;x
EVTDESC301100;In what was a moment of extreme piety, a young girl from the provinces converted the Jewess Sol Hachuel to Islam. Yet, despite being a Muslim, she has continued living as a Jewess. Even going as far as to deny that she is a Muslim! A statement which, according to the Shariah, condemns her to death. As is required by the Shariah, she has has been given the option to reconsider her apostasy.  The local pasha going as far as to offering her gold, silks, protection, and even a handsome husband in marriage. Yet she still denies her religion. And now she stands before the royal court. Not even the intercession by the crown prince, who offered his hand in marriage her to save her, could cause her to accept her faith, proclaiming:\n"Do not make me linger-behead me at once-for dying as I do, innocent of any  crime, the God of Abraham will avenge my death."\nWhat are we to do with her?;;;;;;;;;;;;x
the_sell_of_saint_barthelemy_title;The Fate of West Indies;;;;;;;;;;;;;x;
the_sell_of_saint_barthelemy_desc;We acquired the island of Saint Barthelemy from the French in 1784 during American Revolutionary War. Grown properous due to the production of cotton, sugar and tobacco, as well as its excellent trade harbour. However over time trade routes have shifted and the once busy harbour is now quiet. No longer as prosperous as it once was, perhaps we should ask the French if they would like to reacquire the island?;;;;;;;;;;;;;x;
the_libyan_desert_demarcation_title;The Libyan Desert Boundry Commision;;;;;;;;;;;;;x;
the_libyan_desert_demarcation_desc;With the colonisation of Africa speeding up one of the last areas still untouched by Western Imperialism are the great deserts of North Africa. Barely habitable and of little colonial interest, it has been suggested we organise a committee to divide the Libyan Desert among the states surrounding at and demarcate the borders.;;;;;;;;;;;;;x;
monopolising_the_coromandel_coast_title;Consolidating The Coromandel Coast;;;;;;;;;;;;;x;
monopolising_the_coromandel_coast_desc;European powers settled the Coromandel Coast in the 17th and 18th century in an effort to control the Indian trade. As we've come to dominate the Indian subcontinent -and the Indian trade with it- these posts have become mostly become worthless to the other powers, often even a drain on the treasure. Perhaps we should approach them and offer to take this burden of their hands, and at the same time reduce foreign influence on the Indian subcontinent?;;;;;;;;;;;;;x;
the_goldsmith_arbitration_title;The Goldsmith Arbitration;;;;;;;;;;;;x
the_goldsmith_arbitration_desc;Over the past few years we've steadily been increasing our influence in the tribal lands of Baluchistan. In doing so we've come into conflict with Persia, how claim the region belongs to them. While Persia is in no position to resist us, it might be best to settle the question of whom Baluchistan belongs to through international arbitration.;;;;;;;;;;;;x
the_northern_arabian_borders_title;Finalise the Northern Borders;;;;;;;;;;;;x
the_northern_arabian_borders_desc;The Al-Nefud and Syrian desert form the natural borders to the north. Barely inhabited, or indeed habitable, for administrative purposes a line has to be drawn through the desert. The question is where?;;;;;;;;;;;;x
the_southern_arabian_borders_title;Finalise the Southern Borders;;;;;;;;;;;;x
the_southern_arabian_borders_desc;The Great Rub'al Khali desert seperates us from the Indian Ocean and the states on its coast. Barely inhabited, or indeed habitable, for administrative purposes a border between us and the Indian Ocean States has to be drawn somewhere.;;;;;;;;;;;;x
become_uzbekistan_bukkhara_title;Unify the Uzbek Tribes;;;;;;;;;;;;x
become_uzbekistan_bukkhara_desc;We must unite the Uzbeks into a single state, with sovereignty over all our ancestral land. Under Uzbek leadership, all of Turkestan will one day be united!;;;;;;;;;;;;;x
the_kyzylkum_desert_title;The Kyzylkum;;;;;;;;;;;;x
the_kyzylkum_desert_desc;Endless and endless expanses of red sand, only occasionally interrupted by the occasional oasis. It has no value but for the caravans crossing it. [requires 50% civilisation progress];;;;;;;;;;;;x
the_karakum_desert_title;The Karakum;;;;;;;;;;;;x
the_karakum_desert_desc;The Great Karakum. Completely uninhabitable and completely worthless. Its only use is for caravans to cross.  These caravans are however of great value, and he who controls the trading cities, controls the caravans... [requires 50% civilisation progress];;;;;;;;;;;;x
reassert_kopet_dag_mountains_title;Assert Dominance over the Turkmen tribes;;;;;;;;;;;;x
reassert_kopet_dag_mountains_desc;The Turkmen tribes of the Kopet Dag mountains hold nominal allegiance to our throne but, recognising only clan and tribal authority, they are in effect beyond the pale of the state. This has allowed them to continue raiding Persian caravans and cities along the border, as well as enslaving those they capture. With the external and internal situation settling down, we should perhaps reaffirm our authority over the region.;;;;;;;;;;;;x
treaty_of_akhal_title;Treaty of Akhal;;;;;;;;;;;;x
treaty_of_akhal_desc;Our designs for Turkestan are starting to come to fruition. However, Persia stubbornly holds on to ancient claims to the region. In their weakened state it seems unlikely that they'll be willing to risk upsetting us. Perhaps we can force them to relinquish all territories and claims on Turkestan?;;;;;;;;;;;;x
assert_lengeh_title;Assert Dominance over Lengeh;;;;;;;;;;;;x
assert_lengeh_desc;With the external and internal situation stabilised, it is time to turn to reasserting our authority over the peripheral regions. For too long have the Arab traders off the Gulf coast flaunted their independence. It is time to restore order and our prestige!;;;;;;;;;;;;x
assert_bushehr_title;Assert Dominance over Bushire;;;;;;;;;;;;x
assert_bushehr_desc;With the external and internal situation stabilised, it is time to turn to reasserting our authority over the peripheral regions. For too long have foreign powers controlled the strategic port of Bushere. It is time to restore order and our prestige!;;;;;;;;;;;;x
assert_khuzestan_title;Assert Dominance over Arabistan;;;;;;;;;;;;x
assert_khuzestan_desc;The Arab tribes in Khuzestan have always been left to run their own affairs, as long as they acknowledge our suzerainty and pay the necessary taxes. However, to form a truly modern state, and reaffirm our position on the world stage, we need to end such backward practises and assert our authority in all our territories.;;;;;;;;;;;;x
renegotiate_abbas_lease_title;Renegotiate the Bandar Abbas Lease;;;;;;;;;;;;x
renegotiate_abbas_lease_desc;The wealthy port of Bandar Abbas is leased to the Omanis under unfavourable conditions. Any attempts to renegotiate the lease has been blocked on account of the strength of the Omani navy. The death of Sa'id bin Sultan Al-Busaid and the subsequent division of his sultanate has created an opportunity, however, as in this weakened state Muscat might be more willing to negotiate.;;;;;;;;;;;;x
reclaim_abbas_title;Reclaim Bandar Abbas;;;;;;;;;;;;x
reclaim_abbas_desc;The renewed treaty with Oman regarding the lease of Bandar Abbas not only is a lot more stringent, it also imposes a number of conditions under which the treaty becomes null and void and Bandar Abbas returns to us. For example: if the Sultan is disposed or fails to make the required payments. As it stand, we currently have sufficient reason to declare the treaty null and void and reclaim Bandar Abbas.;;;;;;;;;;;;x
assert_afghanistan_1_title;Reforming Afghanistan;;;;;;;;;;;;x
assert_afghanistan_1_desc;Afghanistan is ruled as a tribal confederacy, with each tribe and local emir ruling more or less independently. Our current administrative reforms great limit the autonomy of these rulers and brings them closer to our authority.;;;;;;;;;;;;x
assert_afghanistan_2_title;Reforming Afghanistan;;;;;;;;;;;;x
assert_afghanistan_2_desc;Afghanistan is ruled as a tribal confederacy, with each tribe and local emir ruling more or less independently. Our current administrative reforms allow us to extend our authority even to outlying areas.;;;;;;;;;;;;x
