;;;;;;;;;;;;;x
GOW_ADJ;Gowa;Gowa;Gowa;;Gowa;;;;;;;;;x
GOR;Gorontalo;Gorontalo;Gorontalo;;Gorontalo;;;;;;;;;x
GOR_ADJ;Gorontalan;Gorontalan;Gorontalan;;Gorontalan;;;;;;;;;x
IDG;Indragiri;Indragiri;Indragiri;;Indragiri;;;;;;;;;x
IDG_ADJ;Malay;Malais;Malaian;Malaya;;;;;;;;;x
JLL;Jailolo;Jailolo;Jailolo;;Jailolo;;;;;;;;;x
JLL_ADJ;Jailolan;Jailolan;Jailolan;;Jailolan;;;;;;;;;x
KDH;Kedah;;;;;;;;;;;;;x
KDH_ADJ;Kedah;;;;;;;;;;;;;x
KDR;Laiwoei;Laiwui;Laiwui;;Laiwui;;;;;;;;;x
KDR_ADJ;Laiwoei;Laiwui;Laiwui;;Laiwui;;;;;;;;;x
KEL;Kelantan;;;;;;;;;;;;;x
KEL_ADJ;Kelantan;;;;;;;;;;;;;x
KLG;Kloengkoeng;Klungkung;Klungkung;;Klungkung;;;;;;;;;x
KLG_ADJ;Balinese;Balinais;Baliner;;Balines;;;;;;;;;x
KLM;Dajak Tribes;Dajak Tribes;Dajak Tribes;;Dajak Tribes;;;;;;;;;x
KLM_ADJ;Dajak;Dajak;Dajak;Dajak;;Dajak;;;;;;;;;x
KOT;Kotaringin;Kotaringin;Kotaringin;;Kotaringin;;;;;;;;;x
KOT_ADJ;Malay;Malais;Malaian;Malaya;;;;;;;;;x
KTI;Koetei;;;;;;;;;;;;;x;
KTI_ADJ;Koetein;;;;;;;;;;;;;x;
KRM;Karangasem;Karangasem;Karangasem;;Karangasem;;;;;;;;;x
KRM_ADJ;Karangasem;Karangasem;Karangasem;;Karangasem;;;;;;;;;x
GTU;Goenoeng Taboer;Goenoeng Taboer;Goenoeng Taboer;;Goenoeng Taboer;;;;;;;;;x
GTU_ADJ;Goenoeng Taboer;Gunung Tabur;Gunung Tabur;;Gunung Tabur;;;;;;;;;x
LAR;Larantoeka;Larantuka;Larantuka;;Larantuka;;;;;;;;;x
LAR_ADJ;Larantoekan;Larantukanen;Larantukanen;;Larantukanen;;;;;;;;;x
LDK;Landak;Landak;Landak;;Landak;;;;;;;;;x
LDK_ADJ;Malay;Malais;Malaian;Malaya;;;;;;;;;x
LWU;Loewoe;Luwu;Luwu;;Luwu;;;;;;;;;x
LWU_ADJ;Loewoen;Luwu;Luwu;;Luwu;;;;;;;;;x
MAM;Matam;Matam;Matam;;Matam;;;;;;;;;x
MAM_ADJ;Matam;Matam;Matam;;Matam;;;;;;;;;x
MDR;Mandar;Mandar;Mandar;;Mandar;;;;;;;;;x
MDR_ADJ;Mandar;Mandar;Mandar;;Mandar;;;;;;;;;x
MGD;Maguindanao;;;;;;;;;;;;;x
MGD_ADJ;Maguindanao;;;;;;;;;;;;;x
MTM;Mataram;Mataram;Mataram;;Mataram;;;;;;;;;x
MTM_ADJ;Mataram;Mataram;Mataram;;Mataram;;;;;;;;;x
NIA;Nias;Nias;Nias;;Nias;;;;;;;;;x
NIA_ADJ;Niasen;Niasen;Niasen;;Niasen;;;;;;;;;x
PAG;Pagaroejoeng;Pagaruyung;Pagaruyung;;Pagaruyung;;;;;;;;;x
PAG_ADJ;Minangkabau;Minangkabau;Minangkabau;;Minangkabau;;;;;;;;;x
PDR;Padri;Padri;Padri;;Padri;;;;;;;;;x
PDR_ADJ;Padri;Padri;Padri;;Padri;;;;;;;;;x
PHG;Pahang;;;;;;;;;;;;;x
PHG_ADJ;Pahang;;;;;;;;;;;;;x
PLB;Palembang;Palembang;Palembang;Palembang;;;;;;;;;x
PLB_ADJ;Malay;Malais;Malaian;Malaya;;;;;;;;;x
POT;Pontianak;Pontianak;Pontianak;;Pontianak;;;;;;;;;x
POT_ADJ;Malay;Malais;Malaian;Malaya;;;;;;;;;x
PRK;Perak;;;;;;;;;;;;;x
PRK_ADJ;Perak;;;;;;;;;;;;;x
RIA;Lingga;Lingga;Lingga;;Lingga;;;;;;;;;x
RIA_ADJ;Malay;Malais;Malaian;Malaya;;;;;;;;;x
SAU;Sanggaoe;Sanggau;Sanggau;;Sanggau;;;;;;;;;x
SAU_ADJ;Malay;Malais;Malaian;Malaya;;;;;;;;;x
SBI;Sonbai Besar;Sonbai Besar;Sonbai Besar;;Sonbai Besar;;;;;;;;;x
SBI_ADJ;Sonbaian;Sonbaian;Sonbaian;;Sonbaian;;;;;;;;;x
SIG;Sintang;Sintang;Sintang;;Sintang;;;;;;;;;x
SIG_ADJ;Malay;Malais;Malaian;Malaya;;;;;;;;;x
SLR;Selangor;;;;;;;;;;;;;x
SLR_ADJ;Selangor;;;;;;;;;;;;;x
SMB;Sambas;Sambas;Sambas;;Sambas;;;;;;;;;x
SMB_ADJ;Malay;Malais;Malaian;Malaya;;;;;;;;;x
SOP;Soppeng;Soppeng;Soppeng;;Soppeng;;;;;;;;;x
SOP_ADJ;Malay;Malais;Malaian;Malaya;;;;;;;;;x
SRG;Sidenreng;Sidenreng;Sidenreng;;Sidenreng;;;;;;;;;x
SRG_ADJ;Malay;Malais;Malaian;Malaya;;;;;;;;;x
SUR;Soerakarta;Surakarta;Surakarta;;Surakarta;;;;;;;;;x
SUR_ADJ;Javanese;Javanais;Javaner;;Javanesa;;;;;;;;;x
TGU;Terengganu;;;;;;;;;;;;;x
TGU_ADJ;Terengganu;;;;;;;;;;;;;x
WAJ;Wadjo;Wadjo;Wadjo;;Wadjo;;;;;;;;;x
WAJ_ADJ;Wadjo;Wadjo;Wadjo;;Wadjo;;;;;;;;;x
WPA;Papuan Tribes;Papuan Tribes;Papuan Tribes;;Papuan Tribes;;;;;;;;;x
WPA_ADJ;Papuan;Papuan;Papuan;;Papuan;;;;;;;;;x
YOG;Jogjakarta;Yogyakarta;Yogyakarta;;Yogyakarta;;;;;;;;;x
YOG_ADJ;Javanese;Javanais;Javaner;;Javanesa;;;;;;;;;x
acehnese;Atjehnese;Acehnese;Acehnese;;Acehnese;;;;;;;;;x
balinese;Balinese;Balinese;Balinese;;Balinese;;;;;;;;;x
batak;Batak;Batak;Batak;;Batak;;;;;;;;;x
betawi;Betawi;Betawi;Betawi;;Betawi;;;;;;;;;x
bantenese;Bantenese;Bantenese;Bantenese;;Bantenese;;;;;;;;;x
banjarnese;Bandjarnese;Banjarnese;Banjarnese;;Banjarnese;;;;;;;;;x
bunginese;Boeginese;Buginese;Buginese;;Buginese;;;;;;;;;x
dayak;Dajak;Dayak;Dayak;;Dayak;;;;;;;;;x
makassarese;Makassarese;Makassarese;Makassarese;;Makassarese;;;;;;;;;x
minahasan;Minahasan;Minahasan;Minahasan;;Minahasan;;;;;;;;;x
minangkabau;Minangkabau;Minangkabau;Minangkabau;;Minangkabau;;;;;;;;;
sundanese;Soendanese;Sundanese;Sundanese;;Sundanese;;;;;;;;;x
sasak;Sasak;Sasak;Sasak;;Sasak;;;;;;;;;x
madurese;Madoerese;Madurese;Madurese;;Madurese;;;;;;;;;x
indonesian;Indonesian;Indonesian;Indonesian;;Indonesian;;;;;;;;;x
frisian;Frisian;Frison;Friesen;;Frisones;;;;;;;;;x
